date,geo_value,hosps_7dav
2020-01-06,al,NA
2020-01-06,ar,NA
2020-01-06,hi,NA
2020-01-06,in,NA
2020-01-06,mn,NA
2020-01-06,mt,NA
2020-01-06,nc,NA
2020-01-06,tx,NA
2020-01-06,vi,NA
2020-01-07,al,NA
2020-01-07,ar,NA
2020-01-07,hi,NA
2020-01-07,in,NA
2020-01-07,mn,NA
2020-01-07,mt,NA
2020-01-07,nc,NA
2020-01-07,tx,NA
2020-01-07,vi,NA
2020-01-08,al,NA
2020-01-08,hi,NA
2020-01-08,in,NA
2020-01-08,mn,NA
2020-01-08,mt,NA
2020-01-08,nc,NA
2020-01-08,tx,NA
2020-01-08,vi,NA
2020-01-09,al,NA
2020-01-09,hi,NA
2020-01-09,in,NA
2020-01-09,mn,NA
2020-01-09,mt,NA
2020-01-09,nc,NA
2020-01-09,tx,NA
2020-01-09,vi,NA
2020-01-10,al,NA
2020-01-10,hi,NA
2020-01-10,in,NA
2020-01-10,mn,NA
2020-01-10,mt,NA
2020-01-10,nc,NA
2020-01-10,tx,NA
2020-01-10,vi,NA
2020-01-11,al,NA
2020-01-11,hi,NA
2020-01-11,in,NA
2020-01-11,mn,NA
2020-01-11,mt,NA
2020-01-11,nc,NA
2020-01-11,tx,NA
2020-01-12,al,NA
2020-01-12,hi,NA
2020-01-12,in,NA
2020-01-12,mn,NA
2020-01-12,mt,NA
2020-01-12,nc,NA
2020-01-12,tx,NA
2020-01-13,al,NA
2020-01-13,hi,NA
2020-01-13,in,NA
2020-01-13,mn,NA
2020-01-13,mt,NA
2020-01-13,nc,NA
2020-01-13,tx,NA
2020-01-14,al,NA
2020-01-14,hi,NA
2020-01-14,in,NA
2020-01-14,mn,NA
2020-01-14,mt,NA
2020-01-14,nc,NA
2020-01-14,tx,NA
2020-01-15,al,NA
2020-01-15,hi,NA
2020-01-15,in,NA
2020-01-15,mn,NA
2020-01-15,mt,NA
2020-01-15,nc,NA
2020-01-15,tx,NA
2020-01-16,al,NA
2020-01-16,hi,NA
2020-01-16,in,NA
2020-01-16,mn,NA
2020-01-16,mt,NA
2020-01-16,nc,NA
2020-01-16,tx,NA
2020-01-17,al,NA
2020-01-17,hi,NA
2020-01-17,in,NA
2020-01-17,mn,NA
2020-01-17,mt,NA
2020-01-17,nc,NA
2020-01-17,tx,NA
2020-01-18,al,NA
2020-01-18,hi,NA
2020-01-18,in,NA
2020-01-18,mn,NA
2020-01-18,mt,NA
2020-01-18,nc,NA
2020-01-18,tx,NA
2020-01-19,al,NA
2020-01-19,hi,NA
2020-01-19,in,NA
2020-01-19,mn,NA
2020-01-19,mt,NA
2020-01-19,nc,NA
2020-01-19,tx,NA
2020-01-20,al,NA
2020-01-20,hi,NA
2020-01-20,in,NA
2020-01-20,mn,NA
2020-01-20,mt,NA
2020-01-20,nc,NA
2020-01-20,tx,NA
2020-01-21,al,NA
2020-01-21,hi,NA
2020-01-21,in,NA
2020-01-21,mn,NA
2020-01-21,mt,NA
2020-01-21,nc,NA
2020-01-21,tx,NA
2020-01-22,al,NA
2020-01-22,hi,NA
2020-01-22,in,NA
2020-01-22,mn,NA
2020-01-22,mt,NA
2020-01-22,nc,NA
2020-01-22,tx,NA
2020-01-23,al,NA
2020-01-23,hi,NA
2020-01-23,in,NA
2020-01-23,mn,NA
2020-01-23,mt,NA
2020-01-23,nc,NA
2020-01-23,nv,NA
2020-01-23,tx,NA
2020-01-24,al,NA
2020-01-24,hi,NA
2020-01-24,in,NA
2020-01-24,mn,NA
2020-01-24,mt,NA
2020-01-24,nc,NA
2020-01-24,nv,1
2020-01-24,tx,NA
2020-01-25,al,NA
2020-01-25,hi,NA
2020-01-25,in,NA
2020-01-25,mn,NA
2020-01-25,mt,NA
2020-01-25,nc,NA
2020-01-25,nv,1
2020-01-25,tx,NA
2020-01-26,al,NA
2020-01-26,hi,NA
2020-01-26,in,NA
2020-01-26,mn,NA
2020-01-26,mt,NA
2020-01-26,nc,NA
2020-01-26,nv,1
2020-01-26,tx,NA
2020-01-27,al,NA
