date,New_York,Los_Angeles,Chicago,Houston,Miami,Seattle,Denver,Dallas,Boston,San_Francisco,mean
2020-01-01,2.0,11.6,-0.9,12.2,19.7,9.2,-0.5,9.7,1.5,11.3,7.58
2020-01-02,2.6,11.4,4.9,16.7,23.1,5.7,-0.5,13.0,2.5,11.2,9.059999999999999
2020-01-03,6.6,14.7,1.6,14.9,24.9,10.2,-0.4,10.2,5.9,9.9,9.85
2020-01-04,7.5,13.7,-0.6,11.9,24.9,6.3,3.8,7.6,5.5,11.2,9.18
2020-01-05,2.5,12.4,-0.3,13.7,16.9,6.0,1.6,12.7,0.9,10.0,7.640000000000001
2020-01-06,2.9,11.8,-0.2,16.2,17.0,7.5,-1.0,9.5,-1.2,9.2,7.17
2020-01-07,2.4,12.2,0.3,13.6,19.7,9.4,0.8,8.8,1.3,9.1,7.76
2020-01-08,0.8,11.3,-6.1,12.1,19.5,5.2,1.8,11.3,0.5,10.7,6.710000000000001
2020-01-09,-2.2,10.6,3.1,20.0,23.5,2.6,-0.5,17.0,-4.4,10.6,8.029999999999998
2020-01-10,5.3,9.7,5.2,21.6,24.1,3.8,-3.4,19.2,4.3,9.6,9.94
2020-01-11,14.1,10.4,0.6,13.2,24.9,5.9,-4.0,4.2,13.3,10.9,9.35
2020-01-12,14.2,10.7,-2.0,8.7,24.7,4.5,-2.3,5.9,13.6,9.0,8.7
2020-01-13,4.7,10.3,-0.2,15.1,24.4,0.9,-2.6,10.9,2.9,10.4,7.68
2020-01-14,4.2,10.8,1.4,21.4,24.3,-0.4,0.4,14.9,2.9,10.4,9.030000000000001
2020-01-15,5.7,11.2,-0.5,22.0,23.5,1.8,-1.3,20.0,4.6,8.3,9.53
2020-01-16,5.5,10.2,-5.6,20.5,23.5,3.2,-3.8,12.6,1.8,9.4,7.730000000000001
2020-01-17,-3.4,11.4,-4.0,18.2,23.3,1.4,0.6,12.7,-7.9,8.7,6.1
2020-01-18,-2.9,11.0,-2.7,19.1,22.6,4.4,-1.2,13.1,-7.4,8.2,6.42
2020-01-19,2.6,11.9,-11.8,10.5,23.2,7.0,-1.7,6.0,1.2,8.8,5.7700000000000005
2020-01-20,-4.1,13.1,-4.7,8.8,21.0,6.6,-0.8,5.9,-7.7,8.6,4.67
2020-01-21,-3.5,13.0,-5.6,8.5,14.9,6.9,2.3,6.3,-6.9,11.0,4.6899999999999995
2020-01-22,-2.3,11.5,-2.5,11.0,11.5,6.5,3.8,5.9,-3.7,11.6,5.33
2020-01-23,0.1,13.8,-0.6,14.7,20.1,9.8,1.2,9.5,-0.1,10.6,7.910000000000001
2020-01-24,2.8,15.2,1.4,11.2,21.9,8.7,3.7,8.0,1.5,11.2,8.56
2020-01-25,5.1,13.5,0.3,12.3,20.9,7.5,3.9,10.9,4.7,12.0,9.110000000000001
2020-01-26,3.8,12.2,-0.5,17.5,17.3,8.3,2.9,12.7,5.4,12.5,9.209999999999999
2020-01-27,3.3,13.6,-0.9,12.7,19.2,7.2,0.1,10.8,3.1,11.1,8.02
2020-01-28,2.8,14.4,-0.7,14.7,21.1,7.7,1.3,11.9,1.4,11.6,8.620000000000001
2020-01-29,0.4,14.8,-0.8,10.5,21.4,7.7,0.4,6.7,-1.1,10.5,7.05
2020-01-30,-1.9,14.8,-0.4,10.9,22.1,7.3,-0.6,6.1,-4.0,12.2,6.65
2020-01-31,2.2,16.8,0.5,10.9,21.7,10.5,2.0,8.1,-0.3,11.8,8.419999999999998
2020-02-01,2.5,19.2,0.8,10.4,21.9,8.1,6.9,8.3,1.5,11.6,9.12
2020-02-02,2.6,16.9,5.4,14.2,15.3,3.1,8.3,15.3,1.1,10.4,9.26
2020-02-03,5.8,12.6,1.5,18.1,15.3,2.9,-3.2,16.7,2.1,8.2,7.999999999999998
2020-02-04,7.2,9.1,0.6,21.5,21.6,1.8,-9.6,13.2,3.0,8.7,7.710000000000001
2020-02-05,4.7,9.1,-2.3,10.5,23.4,6.3,-12.4,3.4,2.0,9.6,5.43
2020-02-06,4.3,10.9,-2.1,5.6,24.9,6.8,-3.6,2.4,2.0,10.8,6.199999999999998
2020-02-07,4.8,12.6,-2.9,11.1,21.2,7.4,-3.7,6.8,3.3,9.8,7.039999999999999
2020-02-08,0.8,12.5,-3.5,13.8,19.2,6.5,-5.0,10.0,-2.9,10.6,6.2
2020-02-09,1.5,11.7,-2.6,18.9,22.6,4.5,-4.6,17.2,-2.9,11.3,7.76
2020-02-10,5.6,13.8,-2.0,21.5,23.7,4.5,-9.4,9.5,4.3,11.3,8.279999999999998
2020-02-11,6.2,14.0,-2.1,13.0,24.4,4.5,-9.4,5.8,2.9,12.7,7.2
2020-02-12,4.3,12.6,-2.0,14.3,24.6,5.8,-6.1,7.7,2.9,11.4,7.55
2020-02-13,4.2,12.9,-8.1,10.0,24.9,4.6,-8.5,5.0,2.5,9.9,5.74
2020-02-14,-1.6,13.4,-17.2,8.3,24.6,6.0,-4.4,3.2,-5.3,10.3,3.7300000000000004
2020-02-15,-5.4,12.8,-6.5,12.4,22.2,5.9,-6.7,9.7,-7.6,10.4,4.719999999999999
2020-02-16,1.6,13.5,-4.6,17.1,23.7,5.3,-4.2,15.7,0.6,11.0,7.969999999999999
2020-02-17,3.7,13.9,-0.7,19.8,23.4,3.9,-3.5,18.8,1.0,11.3,9.16
2020-02-18,4.6,14.4,0.7,21.6,24.8,2.8,-5.4,12.1,1.2,11.7,8.85
2020-02-19,4.5,15.2,-6.2,14.4,25.0,3.5,-8.8,8.3,2.1,10.4,6.839999999999999
2020-02-20,-0.5,17.0,-8.7,10.0,25.0,4.6,-11.3,7.0,-3.4,12.1,5.18
2020-02-21,-2.7,18.1,-5.0,7.6,21.1,3.8,-8.3,3.7,-5.5,12.9,4.569999999999999
2020-02-22,1.8,14.2,1.4,9.1,19.1,5.7,-1.9,8.0,0.8,11.1,6.93
2020-02-23,4.3,13.9,4.2,15.2,20.9,6.2,-0.0,12.4,3.5,11.2,9.18
2020-02-24,5.5,13.0,1.5,18.4,22.5,5.6,-4.4,14.6,6.2,11.0,9.39
2020-02-25,7.3,16.6,1.0,15.0,24.6,4.6,-7.1,9.9,6.1,13.1,9.109999999999998
2020-02-26,7.2,17.3,-1.7,9.9,25.0,6.7,-10.9,5.5,5.4,13.5,7.790000000000001
2020-02-27,4.0,19.2,-3.9,6.7,17.9,6.4,-2.8,6.3,4.8,15.4,7.4
2020-02-28,0.5,21.5,-5.9,11.0,14.1,4.8,-2.9,9.7,-0.4,12.7,6.51
2020-02-29,-1.3,16.7,-4.2,13.7,15.4,5.3,-2.0,13.7,-2.2,10.9,6.6
2020-03-01,0.1,13.3,5.0,18.8,17.7,3.7,-2.8,17.6,-3.5,10.2,8.010000000000002
2020-03-02,6.8,14.3,3.3,20.7,22.2,5.7,-1.4,19.2,3.7,14.0,10.85
2020-03-03,9.4,18.0,2.9,20.9,24.0,8.4,0.6,16.3,10.2,13.9,12.459999999999999
2020-03-04,8.5,15.8,2.5,19.9,25.0,7.0,3.1,13.5,7.1,13.4,11.58
2020-03-05,5.2,16.1,3.8,15.0,25.7,7.3,1.6,13.2,4.8,12.1,10.479999999999999
2020-03-06,4.0,15.3,-0.4,14.4,24.9,5.2,4.8,11.9,2.3,11.3,9.370000000000001
2020-03-07,3.7,13.6,1.5,11.7,19.2,5.0,6.8,10.9,0.9,10.3,8.360000000000001
2020-03-08,5.6,13.5,8.3,15.7,20.9,4.1,8.5,13.6,3.8,10.1,10.409999999999998
2020-03-09,11.4,14.9,10.4,18.8,22.3,3.1,7.0,18.6,12.3,12.5,13.13
2020-03-10,12.5,15.2,2.8,20.8,23.4,5.1,6.2,17.9,13.2,13.4,13.049999999999997
2020-03-11,7.9,15.7,3.9,20.6,23.1,7.4,8.1,22.6,7.5,13.2,13.0
2020-03-12,5.9,14.1,7.6,22.0,23.0,5.4,5.9,22.8,4.0,11.8,12.25
2020-03-13,12.6,12.8,4.2,22.0,24.0,3.5,2.2,19.3,8.7,12.0,12.129999999999999
2020-03-14,8.2,12.8,1.1,22.6,24.4,2.9,2.0,18.6,6.4,10.4,10.940000000000001
2020-03-15,6.6,13.1,0.4,21.7,24.6,2.4,3.8,12.9,3.3,9.8,9.860000000000001
2020-03-16,2.9,12.3,1.5,19.9,24.5,5.3,6.0,15.5,-1.6,8.3,9.46
2020-03-17,7.1,10.1,2.3,21.4,24.4,4.1,6.0,18.3,3.3,8.9,10.59
2020-03-18,6.2,9.9,3.5,23.0,24.3,5.1,7.7,21.4,5.2,10.1,11.639999999999999
2020-03-19,8.3,10.6,7.6,24.1,25.0,6.2,2.0,21.9,5.0,10.6,12.129999999999999
2020-03-20,15.0,12.5,4.4,20.8,25.1,7.3,-5.0,13.7,11.7,11.6,11.71
2020-03-21,7.8,13.6,-2.5,15.1,24.8,6.7,-4.5,10.1,5.6,11.7,8.84
