fit,Method,n,MAE,WIS,CE,Runtime_sec
retrospective,MechRt,123,0.008381223137628919,0.004709308791279774,0.0736449864498645,NA
retrospective,estimateR,123,0.01743691900594366,0.010941777574911837,0.2565718157181572,NA
retrospective,EpiEstim,123,0.07398380533415268,0.05916573573589918,0.5248644986449864,NA
retrospective,rtestim,123,0.044572303537311196,0.03782027740549383,0.22581300813008132,NA
retrospective,EpiLPS,123,0.04642528665752947,0.04293097080839498,0.6671409214092141,NA
retrospective,EpiNow2,123,0.008313035587611102,0.004460289423109609,0.11470189701897017,NA
realtime,MechRt,123,0.041017915344043296,0.020909762642180328,0.08177506775067749,NA
realtime,EpiNow2,123,0.042635635495277414,0.023680023326636768,0.16578590785907857,NA
realtime,estimateR,123,0.07298694559304865,0.06177225190220322,0.5628048780487804,NA
realtime,EpiEstim,123,0.07398380533415268,0.06088468252190178,0.5519647696476965,NA
realtime,rtestim,123,0.06582629932278487,0.05414671290051675,0.25426829268292683,NA
realtime,EpiLPS,123,0.06500278461051072,0.05590471111275893,0.585840108401084,NA
