Scenario,Method,Variant,Rule,BurnIn,MAE,CE
Scenario 1: piecewise constant,MechRt,smooth,min,30,1.81,9.38
Scenario 1: piecewise constant,MechRt,smooth,1se,30,1.52,10.59
Scenario 1: piecewise constant,MechRt,jump,min,30,0.22,3.67
Scenario 1: piecewise constant,MechRt,jump,1se,30,0.22,3.67
Scenario 1: piecewise constant,EpiNow2 (GRW),NA,NA,30,2.92,13.81
Scenario 1: piecewise constant,MechRt,smooth,min,50,1.85,8.44
Scenario 1: piecewise constant,MechRt,smooth,1se,50,1.58,9.75
Scenario 1: piecewise constant,MechRt,jump,min,50,0.2,3.27
Scenario 1: piecewise constant,MechRt,jump,1se,50,0.2,3.27
Scenario 1: piecewise constant,EpiNow2 (GRW),NA,NA,50,2.69,13.51
Scenario 2: piecewise exponential,MechRt,smooth,min,30,1.89,2.16
Scenario 2: piecewise exponential,MechRt,smooth,1se,30,1.91,2.53
Scenario 2: piecewise exponential,MechRt,jump,min,30,0.94,9.66
Scenario 2: piecewise exponential,MechRt,jump,1se,30,0.7,8.39
Scenario 2: piecewise exponential,EpiNow2 (GP),NA,NA,30,2.47,13.54
Scenario 2: piecewise exponential,MechRt,smooth,min,50,1.78,4.13
Scenario 2: piecewise exponential,MechRt,smooth,1se,50,1.77,3.35
Scenario 2: piecewise exponential,MechRt,jump,min,50,0.88,12.32
Scenario 2: piecewise exponential,MechRt,jump,1se,50,0.64,10.74
Scenario 2: piecewise exponential,EpiNow2 (GP),NA,NA,50,2.34,15.9
Scenario 3: piecewise linear,MechRt,smooth,min,30,4,10.04
Scenario 3: piecewise linear,MechRt,smooth,1se,30,3.66,8.65
Scenario 3: piecewise linear,MechRt,jump,min,30,0.32,6.61
Scenario 3: piecewise linear,MechRt,jump,1se,30,0.32,6.61
Scenario 3: piecewise linear,EpiNow2 (GRW),NA,NA,30,5.01,3.99
Scenario 3: piecewise linear,MechRt,smooth,min,50,4.07,12.8
Scenario 3: piecewise linear,MechRt,smooth,1se,50,3.79,11.43
Scenario 3: piecewise linear,MechRt,jump,min,50,0.3,9.29
Scenario 3: piecewise linear,MechRt,jump,1se,50,0.3,9.29
Scenario 3: piecewise linear,EpiNow2 (GRW),NA,NA,50,4.83,4.25
Scenario 4: periodic,MechRt,smooth,min,30,0.86,1.51
Scenario 4: periodic,MechRt,smooth,1se,30,1.29,9.73
Scenario 4: periodic,EpiNow2 (GP),NA,NA,30,1.46,10.94
Scenario 4: periodic,MechRt,smooth,min,50,0.62,3.86
Scenario 4: periodic,MechRt,smooth,1se,50,0.82,6.12
Scenario 4: periodic,EpiNow2 (GP),NA,NA,50,1.21,12.32
